model,category,answer,raw_reply,label,rationale
hermes-4-70b,dessert,lava,Lava.,contested,'Lava.' — bare lava is not a dessert; reads as lava cake by ellipsis [ADJUDICATE]
deepseek-r1,dinosaur,trex,Trex,contested,"'Trex' = T. rex, a valid dinosaur; spelling variant of the modal referent [ADJUDICATE]"
command-a,cheese,cheese,Cheese.,degenerate,answered the category name itself
gemma-3-27b-it,city,jones,jones,degenerate,'jones' is not a city; hallucinated token (recurs across categories)
hermes-4-70b,country,kroa,(kroa:ʃi.a),degenerate,IPA fragment '(kroa:ʃi.a)' for Croatia; extraction artifact
gemma-3-27b-it,hobby,jones,jones,degenerate,'jones' is not a hobby; same hallucinated token
gemma-3-27b-it,metal,jones,jones,degenerate,'jones' is not a metal; same hallucinated token
wizardlm-2-8x22b,metal,zinc,Copper ASSISTANT: Zinc,degenerate,template leak 'Copper ASSISTANT: Zinc'; answer ambiguous/contaminated
deepseek-v3.2,animal,beaver,Beaver,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,animal,cheetah,Cheetah,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,animal,crocodile,Crocodile,valid,unambiguous category member; novel only because no other model chose it
gemini-2.5-flash,animal,fox,Fox,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,animal,koala,Koala.,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,animal,llama,Llama,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,animal,platypus,platypus,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,any_word,antidisestablishmentarianism,Antidisestablishmentarianism.,valid,any real word satisfies the 'pick a word' category
grok-4.3,any_word,banana,Banana,valid,any real word satisfies the 'pick a word' category
sonar,any_word,bitnet,Bitnet,valid,any real word satisfies the 'pick a word' category
gemini-2.5-flash,any_word,bloom,Bloom,valid,any real word satisfies the 'pick a word' category
claude-3-haiku,any_word,blueberry,Blueberry.,valid,any real word satisfies the 'pick a word' category
gemini-2.5-flash,any_word,cat,Cat,valid,any real word satisfies the 'pick a word' category
deepseek-v3.2,any_word,choice,Choice.,valid,any real word satisfies the 'pick a word' category
llama-3.3-70b-instruct,any_word,computer,Computer,valid,any real word satisfies the 'pick a word' category
llama-3.3-70b-instruct,any_word,computer,Computer,valid,any real word satisfies the 'pick a word' category
wizardlm-2-8x22b,any_word,crossword,Crossword.,valid,any real word satisfies the 'pick a word' category
command-a,any_word,curiosity,Curiosity.,valid,any real word satisfies the 'pick a word' category
command-a,any_word,curiosity,Curiosity,valid,any real word satisfies the 'pick a word' category
mixtral-8x22b-instruct,any_word,diamond,Diamond,valid,any real word satisfies the 'pick a word' category
mythomax-l2-13b,any_word,dragon,Dragon,valid,any real word satisfies the 'pick a word' category
gpt-4o,any_word,eclipse,Eclipse.,valid,any real word satisfies the 'pick a word' category
gpt-3.5-turbo,any_word,effervescent,Effervescent,valid,any real word satisfies the 'pick a word' category
claude-3-haiku,any_word,elephant,Elephant.,valid,any real word satisfies the 'pick a word' category
deepseek-v3.2,any_word,eminence,Eminence,valid,any real word satisfies the 'pick a word' category
mythomax-l2-13b,any_word,enigma,Enigma,valid,any real word satisfies the 'pick a word' category
gpt-4o,any_word,ethereal,Ethereal,valid,any real word satisfies the 'pick a word' category
mythomax-l2-13b,any_word,fluffy,"""Fluffy""",valid,any real word satisfies the 'pick a word' category
gpt-3.5-turbo,any_word,happiness,Happiness,valid,any real word satisfies the 'pick a word' category
gpt-3.5-turbo,any_word,happiness,Happiness,valid,any real word satisfies the 'pick a word' category
gpt-4o-mini-2024-07-18,any_word,harmony,Harmony,valid,any real word satisfies the 'pick a word' category
hermes-4-70b,any_word,illumination,Illumination,valid,any real word satisfies the 'pick a word' category
hermes-4-70b,any_word,imagination,Imagination.,valid,any real word satisfies the 'pick a word' category
gpt-4o-mini-2024-07-18,any_word,imagine,Imagine.,valid,any real word satisfies the 'pick a word' category
deepseek-v3.2,any_word,impossible,Impossible.,valid,any real word satisfies the 'pick a word' category
palmyra-x5,any_word,infinite,Infinite,valid,any real word satisfies the 'pick a word' category
gemini-2.5-flash,any_word,ink,Ink,valid,any real word satisfies the 'pick a word' category
gpt-3.5-turbo,any_word,jump,Jump,valid,any real word satisfies the 'pick a word' category
gpt-5.5,any_word,lantern,lantern,valid,any real word satisfies the 'pick a word' category
gpt-5.5,any_word,lantern,Lantern,valid,any real word satisfies the 'pick a word' category
gpt-5.5,any_word,lantern,Lantern,valid,any real word satisfies the 'pick a word' category
claude-sonnet-4.6,any_word,moon,Moon,valid,any real word satisfies the 'pick a word' category
claude-sonnet-4.6,any_word,moon,Moon,valid,any real word satisfies the 'pick a word' category
sonar,any_word,oak,Oak,valid,any real word satisfies the 'pick a word' category
gemini-3.1-pro-preview,any_word,petrichor,Petrichor,valid,any real word satisfies the 'pick a word' category
deepseek-r1,any_word,phoenix,Phoenix,valid,any real word satisfies the 'pick a word' category
mythomax-l2-13b,any_word,pluto,Pluto,valid,any real word satisfies the 'pick a word' category
qwen3-235b-a22b-2507,any_word,sunrise,Sunrise,valid,any real word satisfies the 'pick a word' category
deepseek-v3.2,any_word,this,This,valid,any real word satisfies the 'pick a word' category
wizardlm-2-8x22b,any_word,which,Which,valid,any real word satisfies the 'pick a word' category
gpt-4o-mini-2024-07-18,beverage,cappuccino,Cappuccino.,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,beverage,cola,Cola,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,beverage,cola,Cola,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,beverage,cola,Cola,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,beverage,seltzer,Seltzer,valid,unambiguous category member; novel only because no other model chose it
hunyuan-a13b-instruct,beverage,soda,Soda,valid,unambiguous category member; novel only because no other model chose it
gemini-3.1-pro-preview,bird,crow,Crow,valid,unambiguous category member; novel only because no other model chose it
gemini-3.5-flash,bird,falcon,Falcon,valid,unambiguous category member; novel only because no other model chose it
gemini-3.5-flash,bird,falcon,Falcon,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,bird,kiwi,Kiwi,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,bird,ostrich,Ostrich,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,bird,ostrich,Ostrich,valid,unambiguous category member; novel only because no other model chose it
kimi-k2.5,bird,raven,Raven,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,board_game,risk,Risk.,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,cheese,camembert,Camembert,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,cheese,mozzarella,Mozzarella.,valid,unambiguous category member; novel only because no other model chose it
llama-4-maverick,cheese,parmesan,Parmesan.,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,city,berlin,Berlin.,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,city,chicago,Chicago.,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,city,moscow,Moscow.,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,city,osaka,Osaka,valid,unambiguous category member; novel only because no other model chose it
gpt-4-turbo,city,oslo,Oslo.,valid,unambiguous category member; novel only because no other model chose it
gpt-3.5-turbo,city,seattle,Seattle,valid,unambiguous category member; novel only because no other model chose it
sonar,color,amber,Amber,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,color,cyan,Cyan.,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,color,gray,Gray,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,color,navy,Navy.,valid,unambiguous category member; novel only because no other model chose it
gpt-4.1,color,turquoise,Turquoise,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,color,verdigris,Verdigris.,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,country,albania,Albania.,valid,unambiguous category member; novel only because no other model chose it
llama-4-maverick,country,chile,Chile.,valid,unambiguous category member; novel only because no other model chose it
sonar,country,china,China,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,country,ecuador,Ecuador,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,country,egypt,Egypt.,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,country,spain,Spain.,valid,unambiguous category member; novel only because no other model chose it
gemini-2.5-flash,country,usa,USA,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,dance,breakdancing,Breakdancing,valid,unambiguous category member; novel only because no other model chose it
gpt-3.5-turbo,dance,cha-cha,Cha-Cha,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,dance,charleston,Charleston,valid,unambiguous category member; novel only because no other model chose it
gemini-2.5-flash,dance,flamenco,Flamenco,valid,unambiguous category member; novel only because no other model chose it
command-a,dance,foxtrot,Foxtrot,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,dance,samba,Samba.,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,dance,samba,Samba.,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,dance,samba,Samba.,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,dance,samba,Samba.,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,dessert,brulee,Creme brulee.,valid,unambiguous category member; novel only because no other model chose it
gemini-2.5-flash,dessert,custard,Custard,valid,unambiguous category member; novel only because no other model chose it
gpt-4o-mini-2024-07-18,dessert,mousse,Mousse,valid,unambiguous category member; novel only because no other model chose it
qwen-2.5-72b-instruct,dessert,pie,Pie,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,emotion,anger,Anger,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,emotion,cheerful,Cheerful,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,emotion,contempt,Contempt.,valid,unambiguous category member; novel only because no other model chose it
claude-haiku-4.5,emotion,contentment,Contentment.,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,emotion,euphoria,Euphoria.,valid,unambiguous category member; novel only because no other model chose it
sonar,emotion,happy,happy,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,emotion,intrigue,Intrigue,valid,unambiguous category member; novel only because no other model chose it
gpt-3.5-turbo,emotion,joyful,Joyful,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,emotion,sad,Sad.,valid,unambiguous category member; novel only because no other model chose it
kimi-k2.5,emotion,serenity,Serenity,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,fabric,denim,Denim.,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,fabric,polyester,Polyester.,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,fish,carp,Carp,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,fish,cod,Cod,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,flower,lavender,Lavender,valid,unambiguous category member; novel only because no other model chose it
command-a,flower,orchid,Orchid.,valid,unambiguous category member; novel only because no other model chose it
qwen-2.5-72b-instruct,flower,peony,Peony,valid,unambiguous category member; novel only because no other model chose it
qwen-2.5-72b-instruct,flower,peony,Peony,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,fruit,orange,Orange,valid,unambiguous category member; novel only because no other model chose it
gpt-3.5-turbo,herb,mint,Mint,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,herb,sage,Sage,valid,unambiguous category member; novel only because no other model chose it
granite-4.1-8b,hobby,gaming,Gaming,valid,unambiguous category member; novel only because no other model chose it
kimi-k2.5,hobby,hiking,Hiking,valid,unambiguous category member; novel only because no other model chose it
gpt-3.5-turbo,hobby,sewing,Sewing,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,hobby,stargazing,Stargazing,valid,unambiguous category member; novel only because no other model chose it
gemma-3-27b-it,hobby,surveying,Surveying.,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,hobby,woodworking,Woodworking.,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,insect,mosquito,Mosquito,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,insect,mosquito,Mosquito,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,insect,spider,Spider.,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,instrument,harmonica,Harmonica.,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,instrument,trumpet,Trumpet,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,language,cantonese,Cantonese,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,language,italian,Italian.,valid,unambiguous category member; novel only because no other model chose it
gpt-4.1,language,japanese,Japanese,valid,unambiguous category member; novel only because no other model chose it
kimi-k2.5,language,korean,Korean,valid,unambiguous category member; novel only because no other model chose it
sonar,language,serbian,Serbian,valid,unambiguous category member; novel only because no other model chose it
gemini-3.5-flash,language,swahili,Swahili,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,language,vietnamese,Vietnamese,valid,unambiguous category member; novel only because no other model chose it
llama-3.3-70b-instruct,metal,silver,Silver.,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,metal,sodium,Sodium.,valid,unambiguous category member; novel only because no other model chose it
sonar,mythical_creature,basilisk,Basilisk,valid,unambiguous category member; novel only because no other model chose it
sonar,mythical_creature,cerberus,Cerberus,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,occupation,astronomer,Astronomer,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,occupation,electrician,Electrician,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,occupation,farmer,Farmer,valid,unambiguous category member; novel only because no other model chose it
llama-3.3-70b-instruct,occupation,lawyer,Lawyer.,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,occupation,nurse,Nurse.,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,occupation,physician,Physician.,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,occupation,physician,Physician.,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,occupation,welder,Welder.,valid,unambiguous category member; novel only because no other model chose it
claude-haiku-4.5,sport,baseball,Baseball,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,sport,fencing,Fencing,valid,unambiguous category member; novel only because no other model chose it
mixtral-8x22b-instruct,sport,hockey,Hockey,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,sport,judo,Judo,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,sport,volleyball,Volleyball.,valid,unambiguous category member; novel only because no other model chose it
deepseek-v4-flash,tool,chisel,Chisel,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,tree,pine,Pine,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,tree,sequoia,Sequoia,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,vegetable,cucumber,Cucumber.,valid,unambiguous category member; novel only because no other model chose it
deepseek-r1,vegetable,potato,Potato,valid,unambiguous category member; novel only because no other model chose it
sonar,vegetable,spinach,Spinach,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,fish,dolphin,Dolphin,wrong,"dolphin is a mammal, not a fish"
hunyuan-a13b-instruct,tree,pineapple,Pineapple.,wrong,pineapple is not a tree
